ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
4200,Forced air,Central,None,No Data,No Data,No Data,No Data,No Data,Other,14810.4,Single Family,1952,3,5,2,1,4,Patio,Brick,Brick,"10009 Treetop Ln, Lanham, MD 20706",Treetop Ln,Lanham,MD 20706,1986,195,379900,https://www.zillow.com/homedetails/10009-Treetop-Ln-Lanham-MD-20706/37502479_zpid/,17-Jun
4201,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,1228,Single Family,1640,4,3,4,0,3,Patio,Other,Other,"7202 Wood Meadow Way, Lanham, MD 20706",Wood Meadow Way,Lanham,MD 20706,2016,219,358480,https://www.zillow.com/homedetails/7202-Wood-Meadow-Way-Lanham-MD-20706/241967849_zpid/,17-Jun
4202,Forced air,Other,None,Hardwood,Hardwood,No Data,No Data,No Data,No Data,2274,Condo,1072,1,2,1,0,0,None,No Data,No Data,"8671 Greenbelt Rd # 1, Greenbelt, MD 20770",Greenbelt Rd,Greenbelt,MD 20770,1970,75,80000,https://www.zillow.com/homedetails/8671-Greenbelt-Rd-1-Greenbelt-MD-20770/37568900_zpid/,17-Jun
4203,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,1550,Townhouse,1214,3,3,2,1,3,None,Other,Other,"7016 Palamar Ter, Lanham, MD 20706",Palamar Ter,Lanham,MD 20706,1980,200,243000,https://www.zillow.com/homedetails/7016-Palamar-Ter-Lanham-MD-20706/37492238_zpid/,17-May
4204,Forced air,Central,Partially finished,Hardwood,Hardwood,Ranch,No Data,No Data,Asphalt,10018,Single Family,1740,3,4,2,1,1,Water,Brick,Brick,"9308 Good Luck Rd, Lanham, MD 20706",Good Luck Rd,Lanham,MD 20706,1966,184,320000,https://www.zillow.com/homedetails/9308-Good-Luck-Rd-Lanham-MD-20706/37496593_zpid/,17-May
4205,Heat pump,Central,None,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,10800,Single Family,1590,2,4,2,0,1,None,Vinyl,Vinyl,"9509 Van Buren St, Lanham, MD 20706",Van Buren St,Lanham,MD 20706,1953,196,312000,https://www.zillow.com/homedetails/9509-Van-Buren-St-Lanham-MD-20706/37545925_zpid/,17-May
4206,Forced air,Central,Partially finished,No Data,No Data,Ranch,No Data,No Data,Shake/Shingle,10497,Single Family,2064,2,5,2,0,2,None,Brick,Brick,"9313 Tuckerman St, Lanham, MD 20706",Tuckerman St,Lanham,MD 20706,1957,148,306000,https://www.zillow.com/homedetails/9313-Tuckerman-St-Lanham-MD-20706/37551539_zpid/,17-May
4207,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,12632.4,Single Family,3480,3,6,3,0,2,None,Brick,Brick,"9412 Eldred Pl, Lanham, MD 20706",Eldred Pl,Lanham,MD 20706,1964,103,359000,https://www.zillow.com/homedetails/9412-Eldred-Pl-Lanham-MD-20706/37497409_zpid/,17-May
4208,Forced air,Central,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,8102,Single Family,1242,3,3,2,1,2,Patio,Brick,Brick,"6613 Magnolia Ter, Lanham, MD 20706",Magnolia Ter,Lanham,MD 20706,1966,269,334000,https://www.zillow.com/homedetails/6613-Magnolia-Ter-Lanham-MD-20706/37562139_zpid/,17-May
4209,Forced air,Central,None,Hardwood,Hardwood,Colonial,No Data,No Data,No Data,2953,Townhouse,2552,2,2,1,1,2,Water,Brick,Brick,"8679 Seasons Way # 3, Lanham, MD 20706",Seasons Way,Lanham,MD 20706,1967,33,85000,https://www.zillow.com/homedetails/8679-Seasons-Way-3-Lanham-MD-20706/37557587_zpid/,17-Apr
4210,Heat pump,No Data,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,12196.8,Multi Family,2080,2,4,2,0,2,None,Other,Other,"9912 Woodstream Ct, Lanham, MD 20706",Woodstream Ct,Lanham,MD 20706,1980,149,310000,https://www.zillow.com/homedetails/9912-Woodstream-Ct-Lanham-MD-20706/37502277_zpid/,17-Apr
4211,Heat pump,Central,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,7501,Single Family,1178,2,3,2,0,2,Patio,Brick,Brick,"6406 Cipriano Rd, Lanham, MD 20706",Cipriano Rd,Lanham,MD 20706,1965,233,275000,https://www.zillow.com/homedetails/6406-Cipriano-Rd-Lanham-MD-20706/37553024_zpid/,17-Apr
4212,Forced air,Central,Partially finished,Other,Other,Ranch,No Data,No Data,Other,6237,Single Family,1064,3,4,3,0,2,None,Brick,Stone,"6605 100th Ave, Lanham, MD 20706",100th Ave,Lanham,MD 20706,1959,291,310000,https://www.zillow.com/homedetails/6605-100th-Ave-Lanham-MD-20706/37503418_zpid/,17-Apr
4213,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,12196.8,Single Family,3742,3,4,2,1,3,Patio,Brick,Brick,"6305 Langdon Ln, Lanham, MD 20706",Langdon Ln,Lanham,MD 20706,2001,120,450000,https://www.zillow.com/homedetails/6305-Langdon-Ln-Lanham-MD-20706/37492522_zpid/,17-Apr
4214,Heat pump,Central,Finished basement,Hardwood,Hardwood,Other,No Data,No Data,Shake/Shingle,7810,Single Family,1400,3,3,3,0,2,Patio,Brick,Brick,"6303 Merna Ln, Lanham, MD 20706",Merna Ln,Lanham,MD 20706,1965,218,305000,https://www.zillow.com/homedetails/6303-Merna-Ln-Lanham-MD-20706/37549626_zpid/,17-Apr
4215,Heat pump,Central,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,22215.6,Single Family,2318,3,5,3,0,0,None,Brick,Brick,"9411 Tuckerman St, Lanham, MD 20706",Tuckerman St,Lanham,MD 20706,1952,136,315000,https://www.zillow.com/homedetails/9411-Tuckerman-St-Lanham-MD-20706/37553544_zpid/,17-Apr
4216,Forced air,Central,Partially finished,Hardwood,Tile,Other,No Data,No Data,Other,7980,Single Family,2630,4,4,2,2,1,None,Brick,Stone,"6410 Cipriano Rd, Lanham, MD 20706",Cipriano Rd,Lanham,MD 20706,1965,128,337000,https://www.zillow.com/homedetails/6410-Cipriano-Rd-Lanham-MD-20706/37547256_zpid/,17-Mar
4217,Heat pump,Central,None,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,2069,Townhouse,2010,3,3,2,1,3,Patio,Brick,Brick,"7108 Forbes Blvd, Lanham, MD 20706",Forbes Blvd,Lanham,MD 20706,1982,122,245000,https://www.zillow.com/homedetails/7108-Forbes-Blvd-Lanham-MD-20706/37501972_zpid/,17-Mar
4218,Other,No Data,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,12632.4,Single Family,3465,3,4,3,0,2,None,Other,Other,"6314 Langdon Ln, Lanham, MD 20706",Langdon Ln,Lanham,MD 20706,2002,104,360824,https://www.zillow.com/homedetails/6314-Langdon-Ln-Lanham-MD-20706/37492519_zpid/,17-Mar
4219,Forced air,Central,None,No Data,No Data,Cape Cod,No Data,No Data,Composition,7501,Single Family,1018,1,2,1,0,2,Yard,Wood,Wood,"9014 3rd St, Lanham, MD 20706",3rd St,Lanham,MD 20706,1951,187,190000,https://www.zillow.com/homedetails/9014-3rd-St-Lanham-MD-20706/37555361_zpid/,17-Mar
4220,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,2613,Townhouse,1200,4,3,2,2,0,Patio,Vinyl,Vinyl,"6800 Woodstream Cir, Lanham, MD 20706",Woodstream Cir,Lanham,MD 20706,1980,200,240000,https://www.zillow.com/homedetails/6800-Woodstream-Cir-Lanham-MD-20706/37502544_zpid/,17-Mar
4221,Forced air,Central,None,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,7906,Single Family,1544,3,4,3,0,3,None,Brick,Brick,"6413 98th Ave, Lanham, MD 20706",98th Ave,Lanham,MD 20706,1963,209,323000,https://www.zillow.com/homedetails/6413-98th-Ave-Lanham-MD-20706/37498266_zpid/,17-Mar
4222,Heat pump,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,2922,Townhouse,1200,3,3,2,1,3,None,Brick,Brick,"6820 Woodstream Cir, Lanham, MD 20706",Woodstream Cir,Lanham,MD 20706,1980,198,237000,https://www.zillow.com/homedetails/6820-Woodstream-Cir-Lanham-MD-20706/37502539_zpid/,17-Mar
4223,Forced air,Central,None,No Data,No Data,Ranch,No Data,No Data,Asphalt,10497,Single Family,1800,2,3,2,0,1,Patio,Vinyl,Vinyl,"9412 Van Buren St, Lanham, MD 20706",Van Buren St,Lanham,MD 20706,1953,161,289000,https://www.zillow.com/homedetails/9412-Van-Buren-St-Lanham-MD-20706/37555450_zpid/,17-Mar
4224,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Asphalt,11761.2,Single Family,2316,4,5,3,1,3,Patio,Brick,Brick,"7310 Bay Wood Dr, Lanham, MD 20706",Bay Wood Dr,Lanham,MD 20706,1992,168,390000,https://www.zillow.com/homedetails/7310-Bay-Wood-Dr-Lanham-MD-20706/37499198_zpid/,17-Mar
4225,Forced air,Central,Partially finished,No Data,No Data,Contemporary,No Data,No Data,Other,1912,Townhouse,1426,3,3,2,1,2,None,Brick,Vinyl,"8748 Brae Brooke Dr, Lanham, MD 20706",Brae Brooke Dr,Lanham,MD 20706,1973,151,216000,https://www.zillow.com/homedetails/8748-Brae-Brooke-Dr-Lanham-MD-20706/37558217_zpid/,17-Feb
4226,Heat pump,Central,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,1498,Townhouse,1324,2,3,1,1,0,Patio,Brick,Brick,"7353 Green Oak Ter, Lanham, MD 20706",Green Oak Ter,Lanham,MD 20706,1985,165,218000,https://www.zillow.com/homedetails/7353-Green-Oak-Ter-Lanham-MD-20706/37557544_zpid/,17-Feb
4227,Heat pump,Central,None,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,20473.2,Single Family,1409,1,3,1,0,1,Patio,Vinyl,Vinyl,"7146 Presley Rd, Lanham, MD 20706",Presley Rd,Lanham,MD 20706,1957,160,225000,https://www.zillow.com/homedetails/7146-Presley-Rd-Lanham-MD-20706/37499575_zpid/,17-Feb
4228,Other,Central,Partially finished,No Data,No Data,Other,No Data,No Data,Other,1072,Condo,1072,1,2,1,0,1,None,Other,Other,"8655 Greenbelt Rd APT 201, Greenbelt, MD 20770",Greenbelt Rd,Greenbelt,MD 20770,1970,62,66000,https://www.zillow.com/homedetails/8655-Greenbelt-Rd-APT-201-Greenbelt-MD-20770/37568834_zpid/,17-Feb
4229,Heat pump,Central,None,Other,Other,Other,No Data,No Data,Other,10001,Single Family,2128,3,3,2,1,2,None,Brick,Stone,"8411 Magnolia Dr, Lanham, MD 20706",Magnolia Dr,Lanham,MD 20706,1967,129,275000,https://www.zillow.com/homedetails/8411-Magnolia-Dr-Lanham-MD-20706/37564678_zpid/,17-Feb
4230,Forced air,Central,None,Wood Floors,Wood Floors,Colonial,Vinyl Siding,Brick,Shake/Shingle,9757,Single Family,2290,3,4,2,1,2,Water,Brick,Vinyl,"1751 W Regents Park Rd, Crofton, MD 21114",W Regents Park Rd,Crofton,MD 21114,1969,218,500000,https://www.zillow.com/homedetails/1751-W-Regents-Park-Rd-Crofton-MD-21114/36004075_zpid/,20-Jan
4231,Heat pump,Central,Finished basement,No Data,No Data,Colonial,Vinyl Siding,Brick Front,Shake/Shingle,3920,Condo,1444,2,3,1,1,3,Patio,Brick,Vinyl,"1821 Foxdale Ct, Crofton, MD 21114",Foxdale Ct,Crofton,MD 21114,1980,180,260000,https://www.zillow.com/homedetails/1821-Foxdale-Ct-Crofton-MD-21114/36005981_zpid/,19-Dec
4232,Forced air,Central,None,Wood Floors,Wood Floors,Cape Cod,Combination,Combination,Shake/Shingle,10454,Single Family,2816,3,3,3,0,2,Patio,Brick,Other,"1904 Salford Ct, Crofton, MD 21114",Salford Ct,Crofton,MD 21114,2003,185,520000,https://www.zillow.com/homedetails/1904-Salford-Ct-Crofton-MD-21114/58234149_zpid/,19-Dec
4233,Forced air,Central,None,Wood Floors,Wood Floors,Raised Ranch/Rambler,Wood Siding,Aluminum Siding,Shake/Shingle,9683,Single Family,1703,2,3,2,0,0,None,Wood,Wood,"1606 Farnborn St, Crofton, MD 21114",Farnborn St,Crofton,MD 21114,1967,247,420000,https://www.zillow.com/homedetails/1606-Farnborn-St-Crofton-MD-21114/36003132_zpid/,19-Dec
4234,Forced air,Central,None,No Data,No Data,Colonial,Brick,Combination,Shake/Shingle,8001,Single Family,1870,3,4,2,1,2,Patio,Other,Other,"1701 Fallsway Dr, Crofton, MD 21114",Fallsway Dr,Crofton,MD 21114,1973,203,379900,https://www.zillow.com/homedetails/1701-Fallsway-Dr-Crofton-MD-21114/36004548_zpid/,19-Dec
4235,Heat pump,Central,Finished basement,Carpet,Carpet,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,10890,Townhouse,1804,3,3,2,1,3,None,Vinyl,Vinyl,"1848 Foxdale Ct, Crofton, MD 21114",Foxdale Ct,Crofton,MD 21114,1979,155,280000,https://www.zillow.com/homedetails/1848-Foxdale-Ct-Crofton-MD-21114/36005936_zpid/,19-Dec
4236,Heat pump,No Data,Finished basement,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,2121,Townhouse,1760,3,3,2,1,0,None,Other,Other,"1762 Lang Dr, Crofton, MD 21114",Lang Dr,Crofton,MD 21114,1974,185,325000,https://www.zillow.com/homedetails/1762-Lang-Dr-Crofton-MD-21114/36002442_zpid/,19-Dec
4237,Forced air,Central,Finished basement,Carpet,Wood Floors,Colonial,Asphalt,Aluminum Siding,Shake/Shingle,10454,Single Family,3284,3,4,2,1,3,Patio,Other,Other,"1866 Cabrini Ct, Crofton, MD 21114",Cabrini Ct,Crofton,MD 21114,1984,148,485000,https://www.zillow.com/homedetails/1866-Cabrini-Ct-Crofton-MD-21114/36016222_zpid/,19-Dec
4238,Other,No Data,None,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,16988.4,Single Family,1847,3,4,2,1,1,None,Other,Other,"1814 E Regents Park Rd, Crofton, MD 21114",E Regents Park Rd,Crofton,MD 21114,1972,246,455000,https://www.zillow.com/homedetails/1814-E-Regents-Park-Rd-Crofton-MD-21114/36004375_zpid/,19-Dec
4239,Heat pump,Central,None,No Data,No Data,Colonial,Vinyl Siding,Brick,Asphalt,12632.4,Single Family,3236,3,4,3,0,2,None,Brick,Vinyl,"1461 Jameson Pl, Crofton, MD 21114",Jameson Pl,Crofton,MD 21114,1973,151,490000,https://www.zillow.com/homedetails/1461-Jameson-Pl-Crofton-MD-21114/36003467_zpid/,19-Dec
4240,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,10018,Single Family,3232,4,4,3,1,3,Patio,Other,Other,"1710 Peartree Ln, Crofton, MD 21114",Peartree Ln,Crofton,MD 21114,1987,164,530000,https://www.zillow.com/homedetails/1710-Peartree-Ln-Crofton-MD-21114/36001507_zpid/,19-Dec
4241,Forced air,Central,None,Wood Floors,Wood Floors,Colonial,Combination,Combination,Shake/Shingle,11325.6,Single Family,2386,3,4,2,1,2,Water,Other,Other,"1743 Mayfair Pl, Crofton, MD 21114",Mayfair Pl,Crofton,MD 21114,1971,199,475000,https://www.zillow.com/homedetails/1743-Mayfair-Pl-Crofton-MD-21114/36003724_zpid/,19-Dec
4242,Forced air,Central,Finished basement,Carpet,Carpet,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,7853,Single Family,3786,4,4,3,1,3,Patio,Vinyl,Vinyl,"2905 Middle Bridge Ct, Crofton, MD 21114",Middle Bridge Ct,Crofton,MD 21114,1996,148,559999,https://www.zillow.com/homedetails/2905-Middle-Bridge-Ct-Crofton-MD-21114/36012970_zpid/,19-Dec
4243,Forced air,Central,Partially finished,Carpet,Carpet,Colonial,Brick,Brick,Shake/Shingle,8276,Single Family,2068,3,4,2,1,3,Patio,Brick,Brick,"1642 Wickham Way, Crofton, MD 21114",Wickham Way,Crofton,MD 21114,1991,259,535000,https://www.zillow.com/homedetails/1642-Wickham-Way-Crofton-MD-21114/36002470_zpid/,19-Dec
4244,Forced air,Central,Finished basement,Carpet,Wood Floors,Split Foyer,Vinyl Siding,Vinyl Siding,Shake/Shingle,16552.8,Single Family,2262,3,5,3,0,2,Patio,Vinyl,Vinyl,"1556 Crofton Pkwy, Crofton, MD 21114",Crofton Pkwy,Crofton,MD 21114,1966,199,450000,https://www.zillow.com/homedetails/1556-Crofton-Pkwy-Crofton-MD-21114/36003801_zpid/,19-Nov
4245,Forced air,No Data,None,Hardwood,Hardwood,Craftsman,Stone,Vinyl Siding,No Data,1453,Condo,2219,4,4,3,1,3,Water,Brick,Stone,"1308 Hawk Hollow Dr, Crofton, MD 21114",Hawk Hollow Dr,Crofton,MD 21114,2019,203,449990,https://www.zillow.com/homedetails/1308-Hawk-Hollow-Dr-Crofton-MD-21114/249788022_zpid/,19-Nov
4246,Forced air,Central,None,No Data,No Data,Ranch/Rambler,Vinyl Siding,Vinyl Siding,Shake/Shingle,10454,Single Family,1847,3,4,2,1,1,None,Vinyl,Vinyl,"1836 Crofton Pkwy, Crofton, MD 21114",Crofton Pkwy,Crofton,MD 21114,1972,237,438000,https://www.zillow.com/homedetails/1836-Crofton-Pkwy-Crofton-MD-21114/36002717_zpid/,19-Nov
4247,Forced air,Central,Finished basement,No Data,No Data,Colonial,Brick,Brick,Other,5662,Townhouse,1616,2,4,2,0,0,Patio,Brick,Brick,"1849 Foxdale Ct, Crofton, MD 21114",Foxdale Ct,Crofton,MD 21114,1979,167,270000,https://www.zillow.com/homedetails/1849-Foxdale-Ct-Crofton-MD-21114/36005945_zpid/,19-Nov
4248,Forced air,Central,None,Carpet,Hardwood,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,14374.8,Single Family,1908,3,4,2,1,2,Patio,Vinyl,Vinyl,"1714 Spring Green Ave, Crofton, MD 21114",Spring Green Ave,Crofton,MD 21114,1968,241,459000,https://www.zillow.com/homedetails/1714-Spring-Green-Ave-Crofton-MD-21114/36003776_zpid/,19-Nov
4249,Forced air,Central,None,No Data,No Data,Colonial,No Data,No Data,Asphalt,1999,Townhouse,2316,3,2,2,1,0,Patio,Brick,Brick,"1212 Birchleaf Ct, Crofton, MD 21114",Birchleaf Ct,Crofton,MD 21114,2003,162,375000,https://www.zillow.com/homedetails/1212-Birchleaf-Ct-Crofton-MD-21114/58234250_zpid/,19-Nov
4250,Forced air,Central,None,Carpet,Vinyl,No Data,No Data,No Data,Asphalt,6969,Single Family,1870,3,4,2,1,2,Water,Brick,Vinyl,"1717 Denton Ct, Crofton, MD 21114",Denton Ct,Crofton,MD 21114,1975,176,329000,https://www.zillow.com/homedetails/1717-Denton-Ct-Crofton-MD-21114/36004514_zpid/,19-Nov
4251,Heat pump,Central,Finished basement,Carpet,Hardwood,Other,No Data,No Data,Shake/Shingle,1540,Townhouse,2008,2,3,2,1,3,Patio,Wood,Wood,"1821 Whites Ferry Pl, Crofton, MD 21114",Whites Ferry Pl,Crofton,MD 21114,1991,167,335500,https://www.zillow.com/homedetails/1821-Whites-Ferry-Pl-Crofton-MD-21114/35999107_zpid/,19-Oct
4252,Forced air,Central,Unfinished basement,Carpet,Wood Floors,Traditional,Brick,Brick,Shake/Shingle,1999,Townhouse,2324,4,3,3,1,0,Patio,Brick,Vinyl,"1557 Hallwood Ct, Crofton, MD 21114",Hallwood Ct,Crofton,MD 21114,2003,176,410000,https://www.zillow.com/homedetails/1557-Hallwood-Ct-Crofton-MD-21114/58234254_zpid/,19-Oct
4253,Forced air,Central,Partially finished,Carpet,Wood Floors,Traditional,Aluminum Siding,Brick,Asphalt,10018,Single Family,3218,4,5,3,1,3,Patio,Brick,Brick,"2106 Crossgate Dr, Crofton, MD 21114",Crossgate Dr,Crofton,MD 21114,1990,194,624990,https://www.zillow.com/homedetails/2106-Crossgate-Dr-Crofton-MD-21114/36002464_zpid/,19-Oct
4254,Heat pump,Central,Finished basement,Carpet,Carpet,Split Foyer,Vinyl Siding,Brick,Shake/Shingle,1698,Condo,1400,2,2,1,1,3,None,Brick,Vinyl,"2056 Lake Grove Ct, Crofton, MD 21114",Lake Grove Ct,Crofton,MD 21114,1976,170,238500,https://www.zillow.com/homedetails/2056-Lake-Grove-Ct-Crofton-MD-21114/36004927_zpid/,19-Oct
4255,Heat pump,Central,Finished basement,Carpet,Laminate,Colonial,No Data,No Data,Shake/Shingle,1742,Townhouse,1920,4,3,2,2,3,Patio,Vinyl,Vinyl,"2088 Lake Grove Ln, Crofton, MD 21114",Lake Grove Ln,Crofton,MD 21114,1976,151,289950,https://www.zillow.com/homedetails/2088-Lake-Grove-Ln-Crofton-MD-21114/36004896_zpid/,19-Oct
4256,Forced air,Central,None,Carpet,Linoleum / Vinyl,Colonial,Brick,Aluminum Siding,Asphalt,19602,Single Family,2328,3,4,2,1,2,Patio,Brick,Brick,"1700 Swinburne Ave, Crofton, MD 21114",Swinburne Ave,Crofton,MD 21114,1968,183,425000,https://www.zillow.com/homedetails/1700-Swinburne-Ave-Crofton-MD-21114/36002627_zpid/,19-Oct
4257,Forced air,Central,Finished basement,No Data,No Data,Colonial,Vinyl Siding,Brick,No Data,1920,Townhouse,2320,4,3,2,2,3,Water,Brick,Vinyl,"1309 Iron Oak Cv, Crofton, MD 21114",Iron Oak Cv,Crofton,MD 21114,2019,200,464990,https://www.zillow.com/homedetails/1309-Iron-Oak-Cv-Crofton-MD-21114/249788044_zpid/,19-Oct
4258,Forced air,Central,None,Carpet,Hardwood,No Data,No Data,No Data,Shake/Shingle,2000,Single Family,2272,2,3,2,1,3,Patio,Brick,Vinyl,"1438 Thornbury Ct, Crofton, MD 21114",Thornbury Ct,Crofton,MD 21114,2002,178,405000,https://www.zillow.com/homedetails/1438-Thornbury-Ct-Crofton-MD-21114/58234289_zpid/,19-Oct
4259,Forced air,Central,Finished basement,Carpet,Wood Floors,Craftsman,Stone,Vinyl Siding,No Data,1920,Townhouse,2685,4,3,2,2,0,None,Brick,Stone,"1302 Quarter Branch Rd, Crofton, MD 21114",Quarter Branch Rd,Crofton,MD 21114,2019,205,549990,https://www.zillow.com/homedetails/1302-Quarter-Branch-Rd-Crofton-MD-21114/249788026_zpid/,19-Oct
4260,Forced air,Central,Finished basement,Carpet,Carpet,Split Foyer,Vinyl Siding,Vinyl Siding,Other,6655,Single Family,1748,2,3,2,0,2,Patio,Vinyl,Vinyl,"2082 Pear Hill Ct, Crofton, MD 21114",Pear Hill Ct,Crofton,MD 21114,1975,209,365000,https://www.zillow.com/homedetails/2082-Pear-Hill-Ct-Crofton-MD-21114/36004544_zpid/,19-Oct
4261,Forced air,Central,Finished basement,Carpet,Hardwood,Split level,No Data,No Data,Composition,10593,Single Family,2663,3,5,3,0,0,Patio,Vinyl,Vinyl,"1524 Farlow Ave, Crofton, MD 21114",Farlow Ave,Crofton,MD 21114,1967,182,485000,https://www.zillow.com/homedetails/1524-Farlow-Ave-Crofton-MD-21114/36003375_zpid/,19-Oct
4262,Heat pump,Central,Finished basement,No Data,No Data,Traditional,Brick Front,Brick Front,Asphalt,1507,Townhouse,1600,4,3,2,2,0,Patio,Brick,Brick,"2034 Forest Hill Ln, Crofton, MD 21114",Forest Hill Ln,Crofton,MD 21114,1981,181,290000,https://www.zillow.com/homedetails/2034-Forest-Hill-Ln-Crofton-MD-21114/36005062_zpid/,19-Oct
4263,Forced air,Central,None,Laminate,Laminate,Colonial,No Data,No Data,Asphalt,11325.6,Single Family,1850,3,4,2,1,2,Patio,Brick,Vinyl,"1445 Crofton Pkwy, Crofton, MD 21114",Crofton Pkwy,Crofton,MD 21114,1973,264,487500,https://www.zillow.com/homedetails/1445-Crofton-Pkwy-Crofton-MD-21114/36003234_zpid/,19-Oct
4264,Heat pump,Central,Finished basement,No Data,No Data,Contemporary,No Data,No Data,Shake/Shingle,1507,Townhouse,1920,3,3,3,0,3,Water,Brick,Brick,"2026 Forest Hill Ln, Crofton, MD 21114",Forest Hill Ln,Crofton,MD 21114,1982,133,255000,https://www.zillow.com/homedetails/2026-Forest-Hill-Ln-Crofton-MD-21114/36005072_zpid/,19-Oct
4265,Forced air,Central,Finished basement,Hardwood,Tile,Colonial,No Data,No Data,Shake/Shingle,9203,Single Family,2080,4,4,2,2,2,Patio,Other,Vinyl,"1530 Farlow Ave, Crofton, MD 21114",Farlow Ave,Crofton,MD 21114,1965,264,550000,https://www.zillow.com/homedetails/1530-Farlow-Ave-Crofton-MD-21114/36003061_zpid/,19-Oct
4266,Forced air,No Data,Finished basement,No Data,No Data,Traditional,Stone,Vinyl Siding,No Data,1942,Townhouse,2533,5,3,2,3,3,None,Brick,Stone,"1302 Hawk Hollow Dr, Crofton, MD 21114",Hawk Hollow Dr,Crofton,MD 21114,2019,870,2204950,https://www.zillow.com/homedetails/1302-Hawk-Hollow-Dr-Crofton-MD-21114/249786892_zpid/,19-Oct
4267,Forced air,Central,Finished basement,No Data,No Data,Colonial,Vinyl Siding,Brick,Other,2003,Condo,1760,3,3,2,1,3,Patio,Brick,Vinyl,"1816 Lang Dr, Crofton, MD 21114",Lang Dr,Crofton,MD 21114,1977,199,350000,https://www.zillow.com/homedetails/1816-Lang-Dr-Crofton-MD-21114/36002420_zpid/,19-Oct
4268,Forced air,Central,None,Wood Floors,Wood Floors,Ranch/Rambler,Brick Front,Brick Front,Other,11325.6,Single Family,2391,3,4,2,1,2,Water,Brick,Brick,"1805 E Regents Park Rd, Crofton, MD 21114",E Regents Park Rd,Crofton,MD 21114,1972,205,490000,https://www.zillow.com/homedetails/1805-E-Regents-Park-Rd-Crofton-MD-21114/36004258_zpid/,19-Oct
4269,Forced air,Central,None,Hardwood,Hardwood,No Data,No Data,No Data,Asphalt,2613,Townhouse,2219,3,3,2,1,0,Water,Brick,Stone,"1324 Hawk Hollow Dr, Crofton, MD 21114",Hawk Hollow Dr,Crofton,MD 21114,2018,508,1128000,https://www.zillow.com/homedetails/1324-Hawk-Hollow-Dr-Crofton-MD-21114/249787135_zpid/,19-Oct
4270,Heat pump,Central,Finished basement,Carpet,Carpet,Traditional,Other,Other,Shake/Shingle,1742,Townhouse,2098,4,3,2,2,3,Patio,Other,Other,"1818 Whites Ferry Pl, Crofton, MD 21114",Whites Ferry Pl,Crofton,MD 21114,1990,162,340000,https://www.zillow.com/homedetails/1818-Whites-Ferry-Pl-Crofton-MD-21114/35999102_zpid/,19-Oct
4271,Heat pump,No Data,Partially finished,Carpet,Carpet,Colonial,Aluminum Siding,Aluminum Siding,Shake/Shingle,1537,Condo,1760,3,2,2,1,3,Patio,Other,Other,"1724 Jones Falls Ct, Crofton, MD 21114",Jones Falls Ct,Crofton,MD 21114,1984,153,269000,https://www.zillow.com/homedetails/1724-Jones-Falls-Ct-Crofton-MD-21114/36005136_zpid/,19-Oct
4272,Heat pump,Central,Finished basement,Carpet,Wood Floors,Colonial,Aluminum Siding,Brick,Shake/Shingle,3571,Condo,2060,3,4,2,1,3,Patio,Brick,Brick,"2111 Lang Dr, Crofton, MD 21114",Lang Dr,Crofton,MD 21114,1977,162,334000,https://www.zillow.com/homedetails/2111-Lang-Dr-Crofton-MD-21114/36002407_zpid/,19-Oct
