ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
2280,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick,Combination,Other,41382,Single Family,5102,6,4,5,1,3,Patio,Brick,Brick,"13103 Big Cedar Ln, Bowie, MD 20720",Big Cedar Ln,Bowie,MD 20720,2005,123,625000,https://www.zillow.com/homedetails/13103-Big-Cedar-Ln-Bowie-MD-20720/54467224_zpid/,18-Dec
2281,Other,No Data,Finished basement,No Data,No Data,Other,No Data,No Data,Shake/Shingle,26136,Single Family,4208,6,7,2,3,2,Patio,Other,Other,"12409 Annes Prospect Dr, Bowie, MD 20720",Annes Prospect Dr,Bowie,MD 20720,2003,127,535000,https://www.zillow.com/homedetails/12409-Annes-Prospect-Dr-Bowie-MD-20720/58239019_zpid/,18-Dec
2282,Forced air,Central,None,Carpet,Carpet,Contemporary,No Data,No Data,No Data,1247,Townhouse,2823,3,3,2,1,0,Patio,No Data,No Data,"5203 Shamrocks Delight Dr # 112A, Bowie, MD 20720",Shamrocks Delight Dr,Bowie,MD 20720,2008,124,349500,https://www.zillow.com/homedetails/5203-Shamrocks-Delight-Dr-112A-Bowie-MD-20720/82152382_zpid/,18-Dec
2283,Heat pump,No Data,None,No Data,No Data,Contemporary,Vinyl Siding,Vinyl Siding,No Data,4108,Condo,1536,3,3,3,0,0,Patio,No Data,No Data,"11310 Sperry Stream Way UNIT 136, Bowie, MD 20720",Sperry Stream Way,Bowie,MD 20720,1988,147,226000,https://www.zillow.com/homedetails/11310-Sperry-Stream-Way-UNIT-136-Bowie-MD-20720/37472999_zpid/,18-Dec
2284,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick Front,Brick Front,Shake/Shingle,20037.6,Single Family,2916,4,5,3,1,2,Patio,Other,Other,"4710 Silverbrook Way, Bowie, MD 20720",Silverbrook Way,Bowie,MD 20720,1989,161,469000,https://www.zillow.com/homedetails/4710-Silverbrook-Way-Bowie-MD-20720/37488723_zpid/,18-Nov
2285,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,No Data,No Data,Other,32234.4,Single Family,6231,5,4,4,1,2,Patio,Brick,Vinyl,"12703 Woodmore North Blvd, Bowie, MD 20720",Woodmore North Blvd,Bowie,MD 20720,2009,109,682000,https://www.zillow.com/homedetails/12703-Woodmore-North-Blvd-Bowie-MD-20720/37419398_zpid/,18-Nov
2286,Forced air,Central,Partially finished,Other,Other,Colonial,Vinyl Siding,Vinyl Siding,Other,9583,Single Family,1920,3,4,2,1,3,Patio,Other,Other,"11205 Fruitwood Dr, Bowie, MD 20720",Fruitwood Dr,Bowie,MD 20720,1982,185,355000,https://www.zillow.com/homedetails/11205-Fruitwood-Dr-Bowie-MD-20720/37476992_zpid/,18-Nov
2287,Forced air,Central,None,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,20473.2,Single Family,2412,3,4,2,1,0,Patio,Other,Other,"4501 Woodgate Way, Bowie, MD 20720",Woodgate Way,Bowie,MD 20720,1988,163,393000,https://www.zillow.com/homedetails/4501-Woodgate-Way-Bowie-MD-20720/37475549_zpid/,18-Nov
2288,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Brick,Brick Front,Shake/Shingle,9583,Single Family,2724,3,4,2,1,2,Patio,Other,Other,"10903 Atwell Ave, Bowie, MD 20720",Atwell Ave,Bowie,MD 20720,1978,132,359900,https://www.zillow.com/homedetails/10903-Atwell-Ave-Bowie-MD-20720/37477111_zpid/,18-Nov
2289,No Data,No Data,None,Carpet,Hardwood,Other,No Data,No Data,Shake/Shingle,3838,Condo,1279,2,2,2,0,2,Patio,Vinyl,Vinyl,"4800 River Valley Way UNIT 146, Bowie, MD 20720",River Valley Way,Bowie,MD 20720,1988,155,198000,https://www.zillow.com/homedetails/4800-River-Valley-Way-UNIT-146-Bowie-MD-20720/37472993_zpid/,18-Nov
2290,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick,Combination,Shake/Shingle,1598,Townhouse,2472,3,3,3,0,2,None,Brick,Brick,"4002 Windflower Way, Bowie, MD 20720",Windflower Way,Bowie,MD 20720,2003,125,309999,https://www.zillow.com/homedetails/4002-Windflower-Way-Bowie-MD-20720/37491328_zpid/,18-Nov
2291,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Other,10453,Single Family,3752,3,4,3,0,3,None,Brick,Vinyl,"10908 Atwell Ave, Bowie, MD 20720",Atwell Ave,Bowie,MD 20720,2000,107,402800,https://www.zillow.com/homedetails/10908-Atwell-Ave-Bowie-MD-20720/37491892_zpid/,18-Nov
2292,Forced air,Central,Finished basement,Carpet,Carpet,Colonial,Aluminum Siding,Aluminum Siding,Composition,13503.6,Single Family,1840,4,4,3,1,2,Patio,Wood,Wood,"4002 Larga Vista Ct, Bowie, MD 20721",Larga Vista Ct,Bowie,MD 20721,1992,207,380000,https://www.zillow.com/homedetails/4002-Larga-Vista-Ct-Bowie-MD-20721/37487301_zpid/,18-Nov
2293,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Asphalt,1759,Townhouse,1450,3,4,2,1,3,Patio,Vinyl,Vinyl,"4439 Cape Cod Cir, Bowie, MD 20720",Cape Cod Cir,Bowie,MD 20720,1986,176,254900,https://www.zillow.com/homedetails/4439-Cape-Cod-Cir-Bowie-MD-20720/37480858_zpid/,18-Nov
2294,Other,Central,Finished basement,Carpet,Tile,Other,No Data,No Data,Other,22215.6,Single Family,3237,4,5,3,1,2,Patio,Brick,Stone,"11603 Clairton Ct, Bowie, MD 20721",Clairton Ct,Bowie,MD 20721,1974,148,479900,https://www.zillow.com/homedetails/11603-Clairton-Ct-Bowie-MD-20721/37475662_zpid/,18-Nov
2295,Other,Central,Finished basement,Hardwood,Tile,Colonial,No Data,No Data,Shake/Shingle,20037.6,Single Family,2328,4,5,3,1,2,Patio,Other,Other,"4903 Forest Creek Ct, Bowie, MD 20720",Forest Creek Ct,Bowie,MD 20720,1989,202,470000,https://www.zillow.com/homedetails/4903-Forest-Creek-Ct-Bowie-MD-20720/37488677_zpid/,18-Nov
2296,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Brick Front,Brick Front,Shake/Shingle,14374.8,Single Family,5265,5,5,4,1,2,Patio,Other,Other,"4413 Huntchase Dr, Bowie, MD 20720",Huntchase Dr,Bowie,MD 20720,2000,99,519900,https://www.zillow.com/homedetails/4413-Huntchase-Dr-Bowie-MD-20720/37419828_zpid/,18-Nov
2297,Heat pump,Central,Finished basement,Carpet,Hardwood,Colonial,Brick,Combination,Composition,20037.6,Single Family,3984,4,4,3,1,3,Patio,Wood,Wood,"13007 Jordans Endeavor Dr, Bowie, MD 20720",Jordans Endeavor Dr,Bowie,MD 20720,2003,149,595000,https://www.zillow.com/homedetails/13007-Jordans-Endeavor-Dr-Bowie-MD-20720/58239083_zpid/,18-Nov
2298,Forced air,Central,None,No Data,No Data,Contemporary,No Data,No Data,No Data,4257,Multi Family,1700,2,3,2,0,0,None,Brick,Brick,"4703 Ridgeline Ter UNIT 286, Bowie, MD 20720",Ridgeline Ter,Bowie,MD 20720,1991,142,242000,https://www.zillow.com/homedetails/4703-Ridgeline-Ter-UNIT-286-Bowie-MD-20720/37473120_zpid/,18-Nov
2299,Heat pump,No Data,Unfinished basement,Carpet,Hardwood,Colonial,Brick,Combination,Shake/Shingle,23522.4,Single Family,2700,3,4,2,1,2,Patio,Brick,Wood,"13013 Marthas Choice Cir, Bowie, MD 20720",Marthas Choice Cir,Bowie,MD 20720,1988,150,405000,https://www.zillow.com/homedetails/13013-Marthas-Choice-Cir-Bowie-MD-20720/37502117_zpid/,18-Oct
2300,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Brick Front,Brick Front,Shake/Shingle,2430,Townhouse,1956,3,3,2,1,2,Patio,Other,Other,"10615 Heather Glen Way, Bowie, MD 20720",Heather Glen Way,Bowie,MD 20720,2005,171,335000,https://www.zillow.com/homedetails/10615-Heather-Glen-Way-Bowie-MD-20720/54467860_zpid/,18-Oct
2301,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick,Combination,Shake/Shingle,22215.6,Single Family,2592,4,5,3,1,2,Patio,Other,Other,"10805 Kencrest Dr, Bowie, MD 20721",Kencrest Dr,Bowie,MD 20721,1991,172,445000,https://www.zillow.com/homedetails/10805-Kencrest-Dr-Bowie-MD-20721/37487336_zpid/,18-Oct
2302,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,No Data,No Data,Shake/Shingle,10058,Single Family,3170,3,4,2,1,3,Patio,Brick,Brick,"4206 Plummers Promise Dr, Bowie, MD 20720",Plummers Promise Dr,Bowie,MD 20720,2006,162,515000,https://www.zillow.com/homedetails/4206-Plummers-Promise-Dr-Bowie-MD-20720/64718934_zpid/,18-Oct
2303,Forced air,Central,None,No Data,No Data,Colonial,No Data,No Data,No Data,1246,Townhouse,1560,3,2,2,1,0,None,No Data,No Data,"12819 Midnights Delight Dr # 112B, Bowie, MD 20720",Midnights Delight Dr,Bowie,MD 20720,2008,186,290000,https://www.zillow.com/homedetails/12819-Midnights-Delight-Dr-112B-Bowie-MD-20720/82149182_zpid/,18-Oct
2304,Other,No Data,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,38332.8,Single Family,5335,3,4,3,0,2,None,Brick,Brick,"12809 Odens Bequest Dr, Bowie, MD 20720",Odens Bequest Dr,Bowie,MD 20720,2006,117,625000,https://www.zillow.com/homedetails/12809-Odens-Bequest-Dr-Bowie-MD-20720/62876936_zpid/,18-Oct
